01352056151034898218737	0135205615103489821873770245063583314243
destinati	destination
125929366840591370059526914934421861	1259293668405913700595269149344218618917
64026367031519576504933448795137662	6402636703151957650493344879513766262192
1468000	1468000151211434422560238744743252507693
109288677892	1092886778920270077504951511405782565295
026942481085453	0269424810854530602810627264236538250773
18182712761250252418761	1818271276125025241876177485994084521492
2306	2306516267974471185795150657386850408822
27027921095935	2702792109593543055579732660554677963552
rois	roisterer
03702290580483052731884	0370229058048305273188495999415660653731
42201552282050989197818420425	4220155228205098919781842042502825952188
515025191945	5150251919455969123143757999113830165611
grundne	grundner
5124735	5124735546139403154952097397051896240157
769320554911860153519551654627	7693205549118601535195516546279411755939
66876047409154204284299935410258291135	6687604740915420428429993541025829113502
4982	4982076074782702588614099760507880367067
spreading	spreading
21294916719581193579120316251434409650	2129491671958119357912031625143440965031
75200959345	7520095934536073162261187281739280746230
carriers	carriers
749158286016944399200415711027	7491582860169443992004157110270608150727
3649455505232518632241138	3649455505232518632241138840619125701291
38497450236	3849745023626573319174244656778749966500
2317	2317476206537726163717445360549726690601
6654111537358491279025465436902086941	6654111537358491279025465436902086941987
87551380271013798687512993751333	8755138027101379868751299375133303843885
3	3rd
825600	8256009273977667585642598378587497776669
childre	children
9904225568041463131309240101049368	9904225568041463131309240101049368241449
7	7th
068500	0685001695004695975838937352753862266494
1758028227927216	1758028227927216784272064996695684090575
4975	4975654930790973385418558351578940981400
confidentialit	confidentiality
remar	remarks
cea	ceasing
3671800538456378551	3671800538456378551291718484178415947974
4948000671943	4948000671943714240581053275177219524743
173849768523136	1738497685231362760768684947803649482999
unvis	unvisited
379399075216606923805336988	3793990752166069238053369887956513728559
86595262	8659526284482537313536981625173519301153
560716074652441118841800734067898587	5607160746524411188418007340678985871592
cei	ceiling
1000	1000660041544868437352208483059495953182
turp	turpitude
791346544	7913465443931965254154829494577875758599
cem	cemetery
51336061144572228008511837	5133606114457222800851183757899219543063
timbe	timbers
81462236429949390207328507209804090530	8146223642994939020732850720980409053000
3447094856802790589419182996946772445626	3447094856802790589419182996946772445626
2324	2324486154132640315784309553966710614680
77229877	7722987732136502886886885943405120579838
flin	flinty
6402636703151957650493344	6402636703151957650493344879513766262192
935258038242273776124369087	9352580382422737761243690870987518914904
_	_zen
flir	flirts
c	czar
piec	pieces
4231429	4231429807789561705125693005180428747236
44293645	4429364514286171585873397467918975712119
g	gzip
688627439680218855815153675312183741	6886274396802188558151536753121837411997
k	ksuvxa
6770428154681	6770428154681777589339252115538590526823
484261267842177977282689	4842612678421779772826898973500795450583
6510020265437126004664193554	6510020265437126004664193554616583894595
o	oz
054461073979402475184415558178087	0544610739794024751844155581780879628222
s	systems
468396543588566855037731312965879758105	4683965435885668550377313129658797581050
1004	1004309023571363689261949376360267364587
outdoors	outdoors
788138	7881384181566918237215400893603475101448
enchantment	enchantment
w	wyoming
